entry,vector,delivery_mode,dest_mode,polarity,trigger,mask,dest,gsi,raw_value
0,36,0,1,0,0,0,0,0,0x00000824
1,0,0,0,0,0,0,0,1,0x00000000
2,0,0,0,0,0,0,0,2,0x00000000
3,0,0,0,0,0,0,0,3,0x00000000
4,0,0,0,0,0,0,0,4,0x00000000
5,0,0,0,0,0,0,0,5,0x00000000
6,0,0,0,0,0,0,0,6,0x00000000
7,0,0,0,0,0,0,0,7,0x00000000
8,0,0,0,0,0,0,0,8,0x00000000
9,0,0,0,0,0,0,0,9,0x00000000
10,0,0,0,0,0,0,0,10,0x00000000
11,0,0,0,0,0,0,0,11,0x00000000
12,0,0,0,0,0,0,0,12,0x00000000
13,0,0,0,0,0,0,0,13,0x00000000
14,0,0,0,0,0,0,0,14,0x00000000
15,0,0,0,0,0,0,0,15,0x00000000
16,0,0,0,0,0,0,0,16,0x00000000
17,0,0,0,0,0,0,0,17,0x00000000
18,0,0,0,0,0,0,0,18,0x00000000
19,0,0,0,0,0,0,0,19,0x00000000
20,0,0,0,0,0,0,0,20,0x00000000
21,0,0,0,0,0,0,0,21,0x00000000
22,0,0,0,0,0,0,0,22,0x00000000
23,0,0,0,0,0,0,0,23,0x00000000
24,0,0,0,0,0,0,0,24,0x00000000
25,0,0,0,0,0,0,0,25,0x00000000
26,0,0,0,0,0,0,0,26,0x00000000
27,0,0,0,0,0,0,0,27,0x00000000
28,0,0,0,0,0,0,0,28,0x00000000
29,0,0,0,0,0,0,0,29,0x00000000
30,0,0,0,0,0,0,0,30,0x00000000
31,0,0,0,0,0,0,0,31,0x00000000
32,0,0,0,0,0,0,0,32,0x00000000
33,0,0,0,0,0,0,0,33,0x00000000
34,0,0,0,0,0,0,0,34,0x00000000
35,0,0,0,0,0,0,0,35,0x00000000
36,0,0,0,0,0,0,0,36,0x00000000
37,0,0,0,0,0,0,0,37,0x00000000
38,0,0,0,0,0,0,0,38,0x00000000
39,0,0,0,0,0,0,0,39,0x00000000
40,0,0,0,0,0,0,0,40,0x00000000
41,0,0,0,0,0,0,0,41,0x00000000
42,0,0,0,0,0,0,0,42,0x00000000
43,0,0,0,0,0,0,0,43,0x00000000
44,0,0,0,0,0,0,0,44,0x00000000
45,0,0,0,0,0,0,0,45,0x00000000
46,0,0,0,0,0,0,0,46,0x00000000
47,0,0,0,0,0,0,0,47,0x00000000
48,0,0,0,0,0,0,0,48,0x00000000
49,0,0,0,0,0,0,0,49,0x00000000
50,0,0,0,0,0,0,0,50,0x00000000
51,0,0,0,0,0,0,0,51,0x00000000
52,0,0,0,0,0,0,0,52,0x00000000
53,0,0,0,0,0,0,0,53,0x00000000
54,0,0,0,0,0,0,0,54,0x00000000
55,0,0,0,0,0,0,0,55,0x00000000
56,0,0,0,0,0,0,0,56,0x00000000
57,0,0,0,0,0,0,0,57,0x00000000
58,0,0,0,0,0,0,0,58,0x00000000
59,0,0,0,0,0,0,0,59,0x00000000
60,0,0,0,0,0,0,0,60,0x00000000
61,0,0,0,0,0,0,0,61,0x00000000
62,0,0,0,0,0,0,0,62,0x00000000
63,0,0,0,0,0,0,0,63,0x00000000
